id,level,multiple_rate
1,1,1
2,2,1.1
3,3,1.2
4,4,1.3
5,5,1.4
6,6,1.6
7,7,1.8
8,8,2
9,9,2.2
10,10,2.4
11,11,2.8
12,12,3.2
13,13,3.6
14,14,4
15,15,4.4
16,16,5
17,17,5.6
18,18,6.2
19,19,6.8
20,20,7.4
21,21,8.2
22,22,9
23,23,9.8
24,24,10.6
25,25,11.4
26,26,12.4
27,27,13.4
28,28,14.4
29,29,15.4
30,30,16.4
31,31,17.6
32,32,18.8
33,33,20
34,34,21.2
35,35,22.4
36,36,23.8
37,37,25.2
38,38,26.6
39,39,28
40,40,29.4
41,41,31
42,42,32.6
43,43,34.2
44,44,35.8
45,45,37.4
46,46,39.2
47,47,41
48,48,42.8
49,49,44.6
50,50,46.4